company_name,rank
JPMorgan Chase,1
Saudi Arabian Oil Company (Saudi Aramco),2
ICBC,3
China Construction Bank,4
Agricultural Bank of China,5
Bank of America,6
Alphabet,7
ExxonMobil,8
Microsoft,9
Apple,10
Shell,11
Bank of China,12
Toyota Motor,13
Samsung Electronics,14
UnitedHealth Group,15
Ping An Insurance Group,16
Wells Fargo,17
Chevron,18
PetroChina,19
HSBC Holdings,20
TotalEnergies,21
Verizon Communications,22
Walmart,23
Citigroup,24
China Mobile,25
China Merchants Bank,26
Postal Savings Bank Of China (PSBC),27
BP,28
Volkswagen Group,29
Morgan Stanley,30
Meta Platforms,31
Sinopec,32
BNP Paribas,33
Goldman Sachs Group,34
Tencent Holdings,35
Amazon,36
Allianz,37
RBC,38
Pfizer,39
Johnson & Johnson,40
Deutsche Telekom,41
Mercedes-Benz Group,42
TD Bank Group,43
Taiwan Semiconductor,44
Reliance Industries,45
BMW Group,46
LVMH Moët Hennessy Louis Vuitton,47
AXA Group,48
Santander,49
Nestlé,50
Comcast,51
Equinor,52
Bank of Communications,53
Alibaba Group,54
Procter & Gamble,55
Nippon Telegraph & Tel,56
Sony,57
Petrobras,58
Glencore International,59
Industrial Bank,60
Stellantis,61
China Life Insurance,62
American Express,63
General Electric,64
CVS Health,65
China State Construction Engineering,66
The Home Depot,67
Cigna,68
Tesla,69
General Motors,70
CITIC,71
Anheuser-Busch InBev,72
Merck & Co.,73
AbbVie,74
Mitsubishi,75
Roche Holding,76
State Bank of India,77
Elevance Health,78
Raytheon Technologies,79
Oracle,80
Eni,81
PepsiCo,82
ConocoPhillips,83
Bank of Montreal,84
CNOOC,85
Sumitomo Mitsui Financial,86
Walt Disney,87
Bank of Nova Scotia,88
Sanofi,89
BHP Group,90
Mitsubishi UFJ Financial,91
UBS,92
Cisco Systems,93
Novartis,94
United Parcel Service,95
Coca-Cola,96
Siemens,97
Itaú Unibanco Holding,98
Costco Wholesale,99
Commonwealth Bank,100
Rio Tinto,101
Iberdrola,102
BBVA-Banco Bilbao Vizcaya,103
Hyundai Motor,104
Unilever,105
Zurich Insurance Group,106
Deere & Company,107
Mitsui,108
Honda Motor,109
British American Tobacco,110
Bristol Myers Squibb,111
Chubb,112
Intesa Sanpaolo,113
Munich Re,114
Shanghai Pudong Development,115
Hon Hai Precision,116
Marathon Petroleum,117
Thermo Fisher Scientific,118
Caterpillar,119
Charles Schwab,120
Contemporary Amperex Technology,121
Visa,122
American International Group,123
Ford Motor,124
Itochu,125
AstraZeneca,126
AIRBUS,127
HDFC Bank,128
Credit Agricole,129
VINCI,130
China Shenhua Energy,131
US Bancorp,132
China Citic Bank,133
Broadcom,134
NextEra Energy,135
Phillips 66,136
Bayer,137
Charter Communications,138
Vale,139
NAB - National Australia Bank,140
Hitachi,141
Abbott Laboratories,142
Japan Post Holdings,143
ANZ,144
Danaher,145
China Telecom,146
Lloyds Banking Group,147
Capital One,148
PNC Financial Services,149
Brookfield Corporation,150
PICC,151
Generali Group,152
Mizuho Financial,153
Deutsche Post,154
Truist Financial,155
China Pacific Insurance,156
Amgen,157
KDDI,158
Lockheed Martin,159
Accenture,160
Lowe's,161
Linde,162
ICICI Bank,163
Barclays,164
Valero Energy,165
Philip Morris International,166
FedEx,167
MetLife,168
Occidental Petroleum,169
BYD,170
Banco do Brasil,171
Medtronic,172
Banco Bradesco,173
Møller-Maersk,174
IBM,175
UniCredit,176
América Móvil,177
Enel,178
Southern Company,179
Qualcomm,180
Oversea-Chinese Banking,181
L'Oréal,182
Canadian Imperial Bank,183
HCA Healthcare,184
Duke Energy,185
Honeywell International,186
GSK,187
Deutsche Bank,188
McKesson,189
DBS,190
China Everbright Bank,191
Mondelez International,192
Tokio Marine Holdings,193
Union Pacific,194
Enbridge,195
Porsche Automobil Holding,196
Westpac Banking Group,197
China Railway Group,198
Midea Group,199
ING Group,200
Eli Lilly,201
Humana,202
Target,203
Archer Daniels Midland,204
NatWest Group,205
Schneider Electric,206
National Grid,207
Qatar National Bank,208
E.ON,209
China Minsheng Bank,210
Nike,211
Gilead Sciences,212
RWE Group,213
ArcelorMittal,214
BlackRock,215
Suncor Energy,216
McDonald's,217
Canadian Natural Resources,218
Nordea Bank,219
China Resources Land,220
SAP,221
Travelers,222
Netflix,223
JD.com,224
Dell Technologies,225
Oil & Natural Gas,226
CK Hutchison,227
China Vanke,228
Vodafone,229
Volvo Group,230
Seven & I Holdings,231
HDFC,232
Bank of New York Mellon,233
Anglo American,234
Mastercard,235
Novo Nordisk,236
Northrop Grumman,237
PTT,238
PayPal,239
ASML Holding,240
NVIDIA,241
3M,242
Poly Developments & Holdings Group,243
General Dynamics,244
Macquarie Group,245
EOG Resources,246
Takeda Pharmaceutical,247
Air Liquide,248
Aflac,249
Sun Life Financial,250
Orange,251
Cosco Shipping,252
Kraft Heinz Company,253
Nutrien,254
Standard Chartered,255
KIA,256
Dow,257
SAIC Motor,258
Centene,259
The Saudi National Bank,260
Sumitomo,261
EssilorLuxottica,262
"Merck KGaA, Darmstadt, Germany and its affiliates",263
Schlumberger,264
China Railway Construction,265
Kroger,266
Marubeni,267
Holcim,268
Dai-ichi Life Insurance,269
Nippon Steel,270
Denso,271
Royal Ahold Delhaize N.V.,272
Inditex,273
KBC Group,274
Diageo,275
Manulife,276
China Unicom,277
KB Financial Group,278
SK Hynix,279
Saint-Gobain,280
Cheniere Energy,281
Daimler Truck Holding,282
PKN Orlen,283
Zijin Mining Group,284
Kweichow Moutai,285
Telefónica,286
AmerisourceBergen,287
Al Rajhi Bank,288
Power Construction Corporation of China,289
Repsol,290
First Abu Dhabi Bank,291
Fiserv,292
Automatic Data Processing,293
EnBW-Energie Baden,294
TJX Cos,295
Saudi Electricity,296
CaixaBank,297
ABB,298
Posco,299
Shinhan Financial Group,300
Altria Group,301
Starbucks,302
Power Corp of Canada,303
CRH,304
International Holding Company,305
Exelon,306
Longfor Group Holdings,307
Bank Rakyat Indonesia (BRI),308
Woodside Energy Group,309
American Electric,310
Ecopetrol,311
Femsa,312
Sempra,313
Société Générale,314
Texas Instruments,315
Applied Materials,316
Pioneer Natural Resources,317
Bank of Ningbo,318
Nucor,319
Cenovus Energy,320
Bank Of Jiangsu,321
Micron Technology,322
Couche Tard,323
PG&E,324
Freeport-McMoRan,325
Huaxia Bank,326
United Overseas Bank,327
Kering,328
Emirates NBD,329
Shin-Etsu Chemical,330
Gree Electric Appliances,331
Discover Financial Services,332
Citic Securities,333
Lennar,334
China Communications Construction,335
PDD Holdings,336
Progressive,337
Berkshire Hathaway,338
LG Chem,339
D.R. Horton,340
Principal Financial Group,341
Delta Air Lines,342
Marsh & McLennan,343
DNB Bank,344
Corebridge Financial,345
Wilmar International,346
Ameriprise Financial,347
Bank of Beijing,348
Kinder Morgan,349
Fannie Mae,350
LyondellBasell Industries,351
Stryker,352
Dollar General,353
Japan Tobacco,354
HP,355
Panasonic,356
OMV Group,357
Paccar,358
CSX,359
Becton Dickinson,360
S&P Global,361
Eaton,362
Life Insurance Corp. of India,363
State Street,364
Analog Devices,365
Adobe,366
Freddie Mac,367
Nokia,368
Saudi Telecom,369
AT&T,370
Orix,371
Banco Btg Pactual,372
National Bank of Canada,373
BCE,374
Banorte,375
Canadian National Railway,376
TAQA,377
Daikin Industries,378
Consolidated Edison,379
Reckitt Benckiser Group,380
Swiss Life Holding,381
Naturgy Energy Group,382
MS&AD Insurance,383
Shaanxi Coal Industry,384
Poste Italiane,385
General Mills,386
Tata Consultancy Services,387
Baoshan Iron & Steel,388
SEB AB,389
WM,390
Erste Group Bank,391
Tyson Foods,392
Booking Holdings,393
Koç Holding,394
BAE Systems,395
Heineken,396
United Airlines Holdings,397
Haier Smart Home,398
Johnson Controls International,399
Cummins,400
Wanhua Chemical Group,401
EDF,402
Bank Of Shanghai,403
China Yangtze Power,404
BT Group,405
CRRC,406
Hartford Financial Services,407
Dominion Energy,408
Mitsubishi Electric,409
Etisalat,410
Fresenius,411
Toyota Tsusho,412
Bridgestone,413
Fortescue Metals Group,414
CEZ Group,415
Xcel Energy,416
ENEOS Holdings,417
Bank Mandiri,418
Talanx,419
Hana Financial Group,420
Tesco,421
Intel,422
Axis Bank,423
Nissan Motor,424
AIA Group,425
Marriott International,426
Boeing,427
Credit Suisse Group,428
Carrefour,429
Danone,430
Yankuang Energy Group,431
Regeneron Pharmaceuticals,432
Canon,433
NTPC,434
Emerson Electric,435
London Stock Exchange,436
IntercontinentalExchange,437
Norfolk Southern,438
Pernod Ricard,439
Michelin Group,440
Komatsu,441
Softbank,442
DuPont De Nemours,443
Sysco,444
Devon Energy,445
Orsted,446
American Tower,447
Lam Research,448
Fairfax Financial,449
Larsen & Toubro,450
Infineon Technologies,451
Investor AB,452
Aon,453
Bank of Nanjing,454
Baidu,455
DSV Panalpina,456
ENGIE,457
Sherwin-Williams,458
Sun Hung Kai Properties,459
Daiwa House Industry,460
Prologis,461
Bank Central Asia,462
Moderna,463
Hyundai Mobis,464
M&T Bank,465
Carrier Global,466
CSL,467
CNH Industrial,468
Grupo Mexico,469
Keurig Dr Pepper,470
GE HealthCare Consulting,471
Maybank,472
Toyota Industries,473
Commerzbank,474
Corteva,475
TC Energy,476
Bharti Airtel,477
Williams,478
Henkel,479
Veolia Environnement,480
Fifth Third Bank,481
Fast Retailing,482
S.F. Holding,483
Intuit,484
Prudential Financial,485
Salesforce,486
China Coal Energy,487
FirstRand,488
Svenska Handelsbanken,489
NetEase,490
Lenovo Group,491
New China Life Insurance,492
CME Group,493
Recruit Holdings,494
Tongwei,495
Swedbank,496
BASF,497
Intact Financial,498
George Weston,499
Parker-Hannifin,500
Air Products & Chemicals,501
Kotak Mahindra Bank,502
Edison International,503
Standard Bank Group,504
Muyuan Foodstuff,505
Imperial Brands,506
Mitsui Fudosan,507
Public Service Enterprise Group,508
STMicroelectronics,509
Inpex,510
Canadian Pacific Kansas City,511
Naspers,512
Samsung C&T,513
Alpha Dhabi Holding,514
Capgemini,515
Compass Group,516
Oneok,517
Kenvue,518
Swiss Re,519
Dollar Tree,520
Suzuki Motor,521
Synchrony Financial,522
Haleon,523
Bouygues,524
Hermès International,525
Coca-Cola Europacific Partners,526
Sinopharm Group,527
Raymond James Financial,528
Ericsson,529
Longi Green Energy Technology,530
Woolworths,531
Thales,532
Wuliangye Yibin,533
Eversource Energy,534
Walgreens Boots Alliance,535
American Airlines Group,536
Kuehne & Nagel International,537
Wesfarmers,538
Anhui Conch Cement,539
Indian Oil,540
Cathay Financial,541
Central Japan Railway,542
NXP Semiconductors,543
Republic Services,544
Fujitsu,545
Saudi Arabian Mining,546
CTBC Financial,547
Halliburton,548
Hewlett Packard Enterprise,549
VMware,550
Fujifilm Holdings,551
Nintendo,552
Citizens Financial Group,553
Kimberly-Clark,554
Infosys,555
Tokyo Electron,556
Teck Resources,557
Sumitomo Mitsui Trust,558
Warner Bros. Discovery,559
MediaTek,560
Illinois Tool Works,561
Woori Financial Group,562
JBS,563
DTE Energy,564
Metallurgical Corp of China,565
Samsung Life Insurance,566
Nippon Yusen,567
Advanced Micro Devices,568
Huntington Bank,569
Arch Capital Group,570
TE Connectivity,571
Bunge,572
China Zheshang Bank,573
Allstate,574
Luxshare Precision Industry,575
Jackson Financial,576
Albertsons,577
HeidelbergCement,578
Edp-energias De Portugal,579
Entergy,580
Evergreen Marine Corp. (Taiwan),581
