college_name,rank
Indian Institute of Technology Madras  ,1
"Indian Institute of Science, Bengaluru  ",2
Indian Institute of Technology Bombay  ,3
Indian Institute of Technology Delhi  ,4
Indian Institute of Technology Kanpur  ,5
Indian Institute of Technology Kharagpur  ,6
All India Institute of Medical Sciences Delhi  ,7
Indian Institute of Technology Roorkee  ,8
Indian Institute of Technology Guwahati  ,9
Jawaharlal Nehru University  ,10
Banaras Hindu University  ,11
Indian Institute of Technology Hyderabad  ,12
Jamia Millia Islamia  ,13
"Manipal Academy of Higher Education, Manipal  ",14
University of Delhi  ,15
Aligarh Muslim University  ,16
Jadavpur University  ,17
Amrita Vishwa Vidyapeetham  ,18
Vellore Institute of Technology  ,19
Anna University  ,20
S.R.M. Institute of Science and Technology  ,21
Saveetha Institute of Medical and Technical Sciences  ,22
"Birla Institute of Technology and Science, Pilani  ",23
Siksha 'O' Anusandhan  ,24
University of Hyderabad  ,25
Calcutta University  ,26
Homi Bhabha National Institute  ,27
Kalinga Institute of Industrial Technology  ,28
Indian Institute of Technology Gandhinagar  ,29
Indian Institute of Technology (Banaras Hindu University) Varanasi  ,30
National Institute of Technology Tiruchirappalli  ,31
Chandigarh University  ,32
Indian Institute of Technology Indore  ,33
National Institute of Technology Rourkela  ,34
Indian Institute of Technology (Indian School of Mines) Dhanbad  ,35
JSS Academy of Higher Education and Research  ,36
Savitribai Phule Pune University  ,37
Kerala University  ,38
Jawaharlal Institute of Post Graduate Medical Education and Research  ,39
Koneru Lakshmaiah Education Foundation University (K L College of Engineering)  ,40
Andhra University  ,41
Indian Institute of Science Education and Research Pune  ,42
Thapar Institute of Engineering and Technology (Deemed-to-be-university)  ,43
Bharathiar University  ,44
Lovely Professional University  ,45
"National Institute of Technology Karnataka, Surathkal  ",46
Shanmugha Arts Science Technology and Research Academy  ,47
Indian Institute of Technology Ropar  ,48
Amity University  ,49
Kalasalingam Academy of Research and Education  ,50
Cochin University of Science and Technology  ,51
Symbiosis International  ,52
National Institute of Technology Warangal  ,53
National Institute of Technology Calicut  ,54
Bharathidasan University  ,55
Institute of Chemical Technology  ,56
Gauhati University  ,57
Babasaheb Bhimrao Ambedkar University  ,58
UPES  ,59
Panjab University  ,60
Indian Institute of Science Education and Research Kolkata  ,61
Jamia Hamdard  ,62
Dr. D. Y. Patil Vidyapeeth  ,63
University of Madras  ,64
Indian Institute of Science Education and Research Mohali  ,65
Delhi Technological University  ,66
Mahatma Gandhi University  ,67
Indian Institute of Technology Jodhpur  ,68
University of Kashmir  ,69
